zip,lat,long,county,state,n
20171,38.92518,-77.39284,fairfax,VA,2
,,,,,
20187,38.715296,-77.741696,fauquier,VA,1
,,,,,
20190,38.96146,-77.3418,fairfax,VA,1
,,,,,
20602,38.518559,-76.912165,charles,MD,1
,,,,,
20708,39.049859,-76.834493,prince georges,MD,1
,,,,,
20744,38.757114,-76.977596,prince georges,MD,1
,,,,,
20814,39.00452,-77.1046,montgomery,MD,2
,,,,,
20837,39.123705,-77.403211,montgomery,MD,1
,,,,,
20850,39.089557,-77.184127,montgomery,MD,3
,,,,,
20855,39.142857,-77.138145,montgomery,MD,1
,,,,,
20866,39.105644,-76.935861,montgomery,MD,1
,,,,,
20868,39.122262,-76.972157,montgomery,MD,1
,,,,,
20872,39.285477,-77.215203,montgomery,MD,1
,,,,,
20874,39.135512,-77.282223,montgomery,MD,1
,,,,,
20878,39.091857,-77.198452,montgomery,MD,1
,,,,,
20886,39.175703,-77.18725,montgomery,MD,1
,,,,,
20895,39.09538,-77.111555,montgomery,MD,2
,,,,,
20901,39.036289,-77.010948,montgomery,MD,1
,,,,,
20902,39.039974,-77.044449,montgomery,MD,1
,,,,,
20903,39.015209,-76.980597,montgomery,MD,1
,,,,,
20904,39.066844,-76.996866,montgomery,MD,1
,,,,,
20906,39.083978,-77.061278,montgomery,MD,1
,,,,,
21009,39.472579,-76.277279,harford,MD,1
,,,,,
21042,39.261897,-76.897247,howard,MD,2
,,,,,
21046,39.175406,-76.834945,howard,MD,2
,,,,,
21084,39.552706,-76.419734,harford,MD,1
,,,,,
21102,39.556164,-76.870849,carroll,MD,1
,,,,,
21113,38.975412,-76.586886,anne arundel,MD,2
,,,,,
21114,39.06436,-76.622577,anne arundel,MD,1
,,,,,
21201,39.296536,-76.623489,baltimore city,MD,1
,,,,,
21204,39.407156,-76.60379,baltimore,MD,1
,,,,,
21205,39.302757,-76.567987,baltimore city,MD,2
,,,,,
21207,39.325605,-76.736594,baltimore,MD,1
,,,,,
21208,39.385156,-76.727036,baltimore,MD,1
,,,,,
21222,39.325991,-76.451733,baltimore,MD,1
,,,,,
21224,39.279207,-76.557237,baltimore city,MD,1
,,,,,
21501,39.580691,-78.690593,allegany,MD,1
,,,,,
21601,38.800714,-76.051486,talbot,MD,1
,,,,,
21619,38.946034,-76.279172,queen annes,MD,1
,,,,,
21620,39.235988,-76.059316,kent,MD,1
,,,,,
21662,38.713532,-76.196838,talbot,MD,1
,,,,,
21702,39.492596,-77.461211,frederick,MD,1
,,,,,
21704,39.345477,-77.383229,frederick,MD,1
,,,,,
21716,39.317945,-77.624701,frederick,MD,1
,,,,,
21773,39.550036,-77.556275,frederick,MD,1
,,,,,
21774,39.432571,-77.220932,frederick,MD,1
,,,,,
